cot_conts_id,cot_conts_name,cot_img_main_url,cot_theme_sub_id,thm_theme_type,thm_conts_type,thm_coord_type,cot_addr_full_old,cot_addr_full_new,cot_coord_data,cot_coord_x,cot_coord_y,cot_tel_no,cot_conts_detail,cot_conts_stat,cot_extra_data_01,cot_extra_data_02,cot_name_01,cot_value_01,cot_name_02,cot_value_02,cot_name_03,cot_value_03,cot_name_04,cot_value_04,cot_name_05,cot_value_05,cot_name_06,cot_value_06,cot_name_07,cot_value_07,cot_name_08,cot_value_08,cot_name_09,cot_value_09,cot_name_10,cot_value_10,cot_name_11,cot_value_11,cot_name_12,cot_value_12,cot_name_13,cot_value_13,cot_name_14,cot_value_14,cot_name_15,cot_value_15,cot_name_16,cot_value_16,cot_name_17,cot_value_17,cot_name_18,cot_value_18,cot_name_19,cot_value_19,cot_name_20,cot_value_20,cot_coord_type,cot_line_pattern,cot_line_color,cot_line_weight,fillcolor,fillpattern,fillpatternsize,cot_movie_url,cot_voice_url,cot_nation_base_area,cot_nation_point_number,cot_conts_lan_type,cot_kw,cot_sub_cate_id,cot_sub_cate_name,최종기점주소,위도,경도
D-6000,여의도공원 자전거도로,/smgis2/file/ucimgs/conts/1657588761062/23C-4501_0_KOR.png,1-4,2,A,1,서울특별시 영등포구 여의도동 2,서울특별시 영등포구 여의공원로 68,,,,,,Y,,,기점,한국전통의 숲,종점,자연생태의 숲,자전거도로의 종류,자전거보행자겸용도로(분리형),총 연장(km),2.9,관리부서,서부공원여가센터,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,L,#00b050,5,#0000FF,0,24.0,,,07243,다사49434792,KOR,,1-4,(A)분리형 겸용도로,서울특별시 영등포구 여의공원로 68,37.526808,126.922293
D-5090,묵동천(우안),,2-2,2,A,1,서울특별시 노원구 공릉동 39-11,,"[[127.091286,37.622925],[127.091225,37.622875],[127.09119,37.622772],[127.09116,37.62267],[127.09114,37.62256],[127.09112,37.622337],[127.091064,37.622032],[127.09104,37.62192],[127.09096,37.621796],[127.09088,37.62169],[127.0907,37.621548],[127.09007,37.621338],[127.089905,37.621315],[127.08975,37.621178],[127.089516,37.62091],[127.08905,37.620537],[127.088486,37.620125],[127.08832,37.619976]]",,,,,Y,,,기점,공릉동 60-1,종점,공릉동 39-11,자전거도로의 종류,자전거보행자겸용도로(분리형),총 연장(km),0.46,관리부서,노원구 치수과,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,L,#00b050,5,#0000FF,0,24.0,,,,다사63935824,KOR,,2-2,(B)분리형 겸용도로,서울특별시 노원구 공릉동 39-11,37.63021,127.08818
D-5087,굴포천(우안),,2-3,2,A,1,서울특별시 강서구 오곡동 704-5,,,,,,,Y,,,기점,오곡동 699-9(구계),종점,오곡동703-10(구계),자전거도로의 종류,자전거보행자겸용도로(비분리형),총 연장(km),0.3,관리부서,강서구 물관리과,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,D,#0070c0,5,#0000FF,0,24.0,,,07505,다사35275074,KOR,,2-3,(B)비분리형 겸용도로,서울특별시 강서구 오곡동 704-5,37.55273,126.78283
D-5086,홍제천(좌안),,2-2,2,A,1,서울특별시 서대문구 홍제동 373,서울특별시 서대문구 세검정로3길 63,,,,,,Y,,,기점,백련교,종점,홍은교,자전거도로의 종류,자전거보행자겸용도로(분리형),총 연장(km),2.0,관리부서,서대문구 안전치수과,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,D,#00b050,5,#0000FF,0,24.0,,,03623,다사51175513,KOR,,2-2,(B)분리형 겸용도로,서울특별시 서대문구 세검정로3길 63,37.593652,126.9467715
D-5085,홍제천(좌안),,2-2,2,A,1,서울특별시 서대문구 연희동 169-14,서울특별시 서대문구 연희로 251,,,,,,Y,,,기점,사천교,종점,홍연교,자전거도로의 종류,자전거보행자겸용도로(분리형),총 연장(km),2.2,관리부서,서대문구 안전치수과,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,D,#00b050,5,#0000FF,0,24.0,,,03660,다사50205352,KOR,,2-2,(B)분리형 겸용도로,서울특별시 서대문구 연희로 251,37.5794777,126.9358956
D-5084,홍제천(좌안),,2-2,2,A,1,서울특별시 마포구 성산동 119-2,서울특별시 마포구 성산로 206,,,,,,Y,,,기점,연남교 사거리,종점,한강 합류지점,자전거도로의 종류,자전거보행자겸용도로(분리형),총 연장(km),2.4,관리부서,마포구 치수과,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,D,#00b050,5,#0000FF,0,24.0,,,03974|03952,다사48475216,KOR,,2-2,(B)분리형 겸용도로,서울특별시 마포구 성산로 206,37.5588112,126.8952323
D-5083,홍제천(우안),,2-2,2,A,1,서울특별시 서대문구 홍은동 265-5,서울특별시 서대문구 연희로 339,,,,,,Y,,,기점,홍제3교,종점,사천교,자전거도로의 종류,자전거보행자겸용도로(분리형),총 연장(km),3.2,관리부서,서대문구 안전치수과,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,D,#00b050,5,#0000FF,0,24.0,,,03651,다사50145434,KOR,,2-2,(B)분리형 겸용도로,서울특별시 서대문구 연희로 339,37.5811638,126.9368104
D-5082,홍제천(우안),,2-2,2,A,1,서울특별시 마포구 중동 388,,,,,,,Y,,,기점,사천교,종점,한강 합류지점,자전거도로의 종류,자전거보행자겸용도로(분리형),총 연장(km),2.4,관리부서,마포구 치수과,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,D,#00b050,5,#0000FF,0,24.0,,,03952|03976,다사48475222,KOR,,2-2,(B)분리형 겸용도로,서울특별시 마포구 중동 388,37.57191,126.90557
D-5081,탄천(좌안)-하천위제방,,2-3,2,A,1,서울특별시 강남구 일원동 580-2,,,,,,,Y,,,기점,탄천1교,종점,대곡교,자전거도로의 종류,자전거보행자겸용도로(비분리형),총 연장(km),5.2,관리부서,강남구 치수과,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,D,#0070c0,5,#0000FF,0,24.0,,,06333|06332,다사62984457,KOR,,2-3,(B)비분리형 겸용도로,서울특별시 강남구 일원동 580-2,37.48754,127.08705
D-5080,탄천(좌안),,2-2,2,A,1,서울특별시 강남구 삼성동 186-3,,,,,,,Y,,,기점,한강합류점(청담2교),종점,광평교,자전거도로의 종류,자전거보행자겸용도로(분리형),총 연장(km),5.6,관리부서,강남구 치수과,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,D,#00b050,5,#0000FF,0,24.0,,,06082,다사61714665,KOR,,2-2,(B)분리형 겸용도로,서울특별시 강남구 삼성동 186-3,37.5147838,127.0543618
D-5079,탄천(우안),,2-2,2,A,1,서울특별시 송파구 가락동 664,,,,,,,Y,,,기점,광평교,종점,대곡교,자전거도로의 종류,자전거보행자겸용도로(분리형),총 연장(km),3.0,관리부서,송파구 치수과,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,D,#00b050,5,#0000FF,0,24.0,,,05834,다사65404338,KOR,,2-2,(B)분리형 겸용도로,서울특별시 송파구 가락동 664,37.49672,127.11744
D-5078,탄천(우안),,2-2,2,A,1,서울특별시 송파구 잠실동 1168-9,,,,,,,Y,,,기점,한강합류점,종점,삼성교,자전거도로의 종류,자전거보행자겸용도로(분리형),총 연장(km),0.7,관리부서,송파구 치수과,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,D,#00b050,5,#0000FF,0,24.0,,,05500,다사61824665,KOR,,2-2,(B)분리형 겸용도로,서울특별시 송파구 잠실동 1168-9,37.5122807,127.0855986
D-5075,중랑천(좌안) -상부구간별도,,2-2,2,A,1,서울특별시 성동구 성수동1가 671-126,,,,,,,Y,,,기점,살곶이지하보도,종점,성동교,자전거도로의 종류,자전거보행자겸용도로(분리형),총 연장(km),0.3,관리부서,성동구 치수과,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,D,#00b050,5,#0000FF,0,24.0,,,04802|04788|04766,다사59785035,KOR,,2-2,(B)분리형 겸용도로,서울특별시 성동구 성수동1가 671-126,,
D-5074,중랑천(좌안) -상부구간별도,,2-2,2,A,1,서울특별시 성동구 송정동 98,서울특별시 성동구 동일로59길 7-1,,,,,,Y,,,기점,새말빗물펌프장,종점,송정체육공원,자전거도로의 종류,자전거보행자겸용도로(분리형),총 연장(km),1.0,관리부서,성동구 치수과,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,D,#00b050,5,#0000FF,0,24.0,,,04800,다사62175105,KOR,,2-2,(B)분리형 겸용도로,서울특별시 성동구 동일로59길 7-1,37.5587681,127.0724212
D-5073,중랑천(좌안),,2-2,2,A,1,서울특별시 광진구 중곡동 597-6,,,,,,,Y,,,기점,월릉교(목동338-7),종점,장평교(면목동727-64),자전거도로의 종류,자전거보행자겸용도로(분리형),총 연장(km),5.2,관리부서,중랑구 치수과,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,D,#00b050,5,#0000FF,0,24.0,,,04900,다사62815256,KOR,,2-2,(B)분리형 겸용도로,서울특별시 광진구 중곡동 597-6,37.56286,127.08921
D-5072,중랑천(좌안),,2-2,2,A,1,서울특별시 노원구 상계동 1200-2,,,,,,,Y,,,기점,의정부시계(상도교 하부),종점,중랑구계(월릉교),자전거도로의 종류,자전거보행자겸용도로(분리형),총 연장(km),8.3,관리부서,노원구 치수과,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,D,#00b050,5,#0000FF,0,24.0,,,01602,다사60466528,KOR,,2-2,(B)분리형 겸용도로,서울특별시 노원구 상계동 1200-2,37.66727,127.07242
D-5069,중랑천(우안),,2-2,2,A,1,서울특별시 도봉구 도봉동 1-28,,,,,,,Y,,,기점,도봉동 1-28,종점,창동 796,자전거도로의 종류,자전거보행자겸용도로(분리형),총 연장(km),6.1,관리부서,도봉구 물관리과,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,D,#00b050,5,#0000FF,0,24.0,,,01318,다사60196614,KOR,,2-2,(B)분리형 겸용도로,서울특별시 도봉구 도봉동 1-28,37.6826056,127.0425405
D-5068,중랑천(우안),,2-2,2,A,1,서울특별시 노원구 공릉동 699-3,,,,,,,Y,,,기점,성북구계(월릉교),종점,도봉구계,자전거도로의 종류,자전거보행자겸용도로(분리형),총 연장(km),3.3,관리부서,노원구 치수과,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,D,#00b050,5,#0000FF,0,24.0,,,01912,다사62115746,KOR,,2-2,(B)분리형 겸용도로,서울특별시 노원구 공릉동 699-3,37.63021,127.08818
D-5067,중랑천(우안),,2-2,2,A,1,서울특별시 동대문구 장안동 204-13,,,,,,,Y,,,기점,용비교,종점,군자교,자전거도로의 종류,자전거보행자겸용도로(분리형),총 연장(km),5.0,관리부서,성동구 치수과,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,D,#00b050,5,#0000FF,0,24.0,,,02642,다사62165132,KOR,,2-2,(B)분리형 겸용도로,서울특별시 동대문구 장안동 204-13,37.57105,127.06806
D-5066,중랑천(우안),,2-2,2,A,1,서울특별시 노원구 공릉동 699-3,,,,,,,Y,,,기점,진입램프(동대문구 경계),종점,월릉교,자전거도로의 종류,자전거보행자겸용도로(분리형),총 연장(km),1.0,관리부서,성북구 치수과,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,D,#00b050,5,#0000FF,0,24.0,,,01912,다사62115746,KOR,,2-2,(B)분리형 겸용도로,서울특별시 노원구 공릉동 699-3,37.63021,127.08818
D-5065,중랑천(우안),,2-2,2,A,1,서울특별시 동대문구 이문동 353-4,,,,,,,Y,,,기점,군자교,종점,이화교 상류(석계초 바로 하단 우측),자전거도로의 종류,자전거보행자겸용도로(분리형),총 연장(km),5.6,관리부서,동대문구 치수과,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,D,#00b050,5,#0000FF,0,24.0,,,02422|02423,다사62215596,KOR,,2-2,(B)분리형 겸용도로,서울특별시 동대문구 이문동 353-4,37.60021,127.06124
D-5064,정릉천(좌안),,2-3,2,A,1,서울특별시 동대문구 제기동 1144-3,서울특별시 동대문구 회기로 24,,,,,,Y,,,기점,"종암대교(성북구경계, 회기로교차점)",종점,청계천 합류부,자전거도로의 종류,자전거보행자겸용도로(비분리형),총 연장(km),2.2,관리부서,동대문구 치수과,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,D,#0070c0,5,#0000FF,0,24.0,,,02466,다사59305473,KOR,,2-3,(B)비분리형 겸용도로,서울특별시 동대문구 회기로 24,37.5910965,127.0391646
D-5062,정릉천(좌안),,2-2,2,A,1,서울특별시 동대문구 제기동 1144-3,서울특별시 동대문구 회기로 24,,,,,,Y,,,기점,종암사거리,종점,종암대교,자전거도로의 종류,자전거보행자겸용도로(분리형),총 연장(km),1.8,관리부서,성북구 치수과,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,D,#00b050,5,#0000FF,0,24.0,,,02466,다사59305473,KOR,,2-2,(B)분리형 겸용도로,서울특별시 동대문구 회기로 24,37.5910965,127.0391646
D-5060,우이천(좌안),,2-3,2,A,1,서울특별시 노원구 월계동 25-2,서울특별시 노원구 화랑로 351-2,,,,,,Y,,,기점,석계역4번출구,종점,중랑천합류부,자전거도로의 종류,자전거보행자겸용도로(비분리형),총 연장(km),0.35,관리부서,성북구 치수과,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,D,#0070c0,5,#0000FF,0,24.0,,,01914,다사61755735,KOR,,2-3,(B)비분리형 겸용도로,서울특별시 노원구 화랑로 351-2,37.6152795,127.0666809
D-5059,우이천(좌안),,2-2,2,A,1,서울특별시 노원구 월계동 476-12,서울특별시 노원구 광운로2길 45,,,,,,Y,,,기점,초안교(도봉구계),종점,장월교 하류(프로카서비스 부근),자전거도로의 종류,자전거보행자겸용도로(분리형),총 연장(km),2.4,관리부서,노원구 치수과,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,D,#00b050,5,#0000FF,0,24.0,,,01899,다사61095757,KOR,,2-2,(B)분리형 겸용도로,서울특별시 노원구 광운로2길 45,37.6177822,127.0579791
D-5058,우이천(좌안),,2-3,2,A,1,서울특별시 노원구 월계동 924,서울특별시 노원구 우이천로 102,,,,,,Y,,,기점,쌍문동 420-6,종점,초안교(창동 514-2),자전거도로의 종류,자전거보행자겸용도로(비분리형),총 연장(km),3.5,관리부서,도봉구 물관리과,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,D,#0070c0,5,#0000FF,0,24.0,,,01872,다사59565919,KOR,,2-3,(B)비분리형 겸용도로,서울특별시 노원구 우이천로 102,37.6311999,127.0429507
D-5057,우이천(우안),,2-2,2,A,1,서울특별시 노원구 월계동 47-8,서울특별시 노원구 화랑로 331-2,,,,,,Y,,,기점,석계역 인근 복개종점,종점,중랑천 합류부,자전거도로의 종류,자전거보행자겸용도로(분리형),총 연장(km),0.5,관리부서,성북구 치수과,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,D,#00b050,5,#0000FF,0,24.0,,,01904,다사61585735,KOR,,2-2,(B)분리형 겸용도로,서울특별시 노원구 화랑로 331-2,37.6209405,127.0858698
D-5056,우이천(우안),,2-2,2,A,1,서울특별시 성북구 장위동 25-4,서울특별시 성북구 한천로96길 82,,,,,,Y,,,기점,월계472교,종점,석계역 인근 복개종점,자전거도로의 종류,자전거보행자겸용도로(분리형),총 연장(km),0.45,관리부서,노원구 치수과,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,D,#00b050,5,#0000FF,0,24.0,,,02778,다사61225745,KOR,,2-2,(B)분리형 겸용도로,서울특별시 성북구 한천로96길 82,37.6164442,127.058981
D-5055,우이천(우안),,2-2,2,A,1,서울특별시 노원구 월계동 862,,,,,,,Y,,,기점,월계2교,종점,월계472교,자전거도로의 종류,자전거보행자겸용도로(분리형),총 연장(km),1.4,관리부서,성북구 치수과,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,D,#00b050,5,#0000FF,0,24.0,,,01883|01884,다사60275843,KOR,,2-2,(B)분리형 겸용도로,서울특별시 노원구 월계동 862,37.6289,127.0567
D-5054,우이천(우안),,2-3,2,A,1,서울특별시 도봉구 쌍문동 103-150,서울특별시 도봉구 우이천로 302,,,,,,Y,,,기점,수유교,종점,월계2교,자전거도로의 종류,자전거보행자겸용도로(비분리형),총 연장(km),3.1,관리부서,강북구 안전치수과,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,D,#0070c0,5,#0000FF,0,24.0,,,01452,다사58426065,KOR,,2-3,(B)비분리형 겸용도로,서울특별시 도봉구 우이천로 302,37.6371412,127.037678
D-5053,여의천(좌안),,2-2,2,A,1,서울특별시 서초구 양재동 126-1,서울특별시 서초구 매헌로 99,"[[127.03753,37.473366],[127.03755,37.473118],[127.03759,37.47271],[127.03767,37.472164],[127.037796,37.47128],[127.03791,37.470486],[127.03797,37.469902],[127.03805,37.469463],[127.03815,37.468655],[127.0383,37.467575],[127.038376,37.46686],[127.03843,37.46623],[127.03843,37.466133],[127.038506,37.465942],[127.03864,37.46569],[127.03886,37.465397],[127.039345,37.464878],[127.0402,37.46393],[127.04089,37.46311],[127.04156,37.462326],[127.041985,37.46183],[127.04212,37.461735],[127.04232,37.461643],[127.04253,37.461662],[127.04286,37.461666],[127.04392,37.461643],[127.044495,37.4616],[127.04501,37.46151],[127.04559,37.461395],[127.046455,37.461216],[127.04677,37.46113],[127.047104,37.460968],[127.04735,37.460796],[127.04746,37.46071],[127.04753,37.4606],[127.048065,37.459705],[127.04834,37.459324],[127.04844,37.4592],[127.04853,37.45917],[127.04859,37.459095],[127.049126,37.45842],[127.04937,37.458122],[127.04977,37.457695],[127.04998,37.457478],[127.05021,37.457172],[127.0505,37.457012],[127.05074,37.456886],[127.05099,37.456768],[127.05118,37.456635],[127.051285,37.45656],[127.051414,37.45644],[127.05167,37.456074],[127.05177,37.455822],[127.05184,37.4554],[127.05187,37.455143],[127.05193,37.45503],[127.05221,37.454712],[127.05251,37.45452],[127.053276,37.454094],[127.05348,37.454],[127.05376,37.453903],[127.05416,37.453728],[127.054474,37.453533],[127.054756,37.45328],[127.05495,37.45307],[127.05533,37.452595],[127.05579,37.452114],[127.0559,37.451965],[127.05598,37.451744],[127.05611,37.451347],[127.056244,37.45096],[127.056465,37.45068],[127.05661,37.45054],[127.05685,37.450386],[127.05709,37.45028],[127.05744,37.450195],[127.05798,37.450024],[127.05815,37.44997],[127.05829,37.449913],[127.0584,37.449833],[127.05852,37.44972],[127.05866,37.449535],[127.05876,37.44934],[127.059,37.448914],[127.05931,37.448406],[127.05943,37.448284],[127.05956,37.448193],[127.059975,37.447994],[127.060036,37.447906],[127.06009,37.447792],[127.06009,37.44759],[127.060036,37.447414],[127.059975,37.447342],[127.05976,37.447113],[127.05958,37.446907],[127.0595,37.44672],[127.05949,37.446404],[127.059456,37.446026],[127.05936,37.445747],[127.05933,37.44562],[127.05933,37.44546],[127.059395,37.445293],[127.0595,37.44505],[127.05953,37.444893],[127.059494,37.44466],[127.05939,37.44429],[127.059326,37.443977],[127.059326,37.44389],[127.05934,37.443806],[127.05934,37.443768],[127.059235,37.443687]]",,,,,Y,,,기점,청계산로15길 교차점 (신원동 177-8),종점,양재천합류부(매헌교),자전거도로의 종류,자전거보행자겸용도로(분리형),총 연장(km),4.22,관리부서,서초구 물관리과,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,D,#00b050,5,#0000FF,0,24.0,,,06773,다사59104167,KOR,,2-2,(B)분리형 겸용도로,서울특별시 서초구 매헌로 99,37.4730453,127.036978
