학교종류명,설립구분,표준학교코드,학교명,영문학교명,관할조직명,도로명우편번호,도로명주소,도로명상세주소,전화번호,홈페이지주소,팩스번호,남녀공학구분명,고등학교구분명,산업체특별학급존재여부,고등학교일반실업구분명,특수목적고등학교계열명,입시전후기구분명,주야구분명,설립일자,개교기념일,시도교육청코드,시도교육청명,소재지명,주야과정,계열명,학과명,적재일시,위도,경도
고등학교,사립,7011508,선일빅데이터고등학교,SUNIL BIGDATA HIGHSCHOOL,서울특별시교육청,3322,서울특별시 은평구 갈현로29길 27,/ 선일빅데이터고등학교 (갈현동),02-355-5648,https://bigdata.sen.hs.kr/,02-354-0935,여,특성화고,N,전문계,,전기,주간,19850108,19850311,B10,서울특별시교육청,서울특별시,주간,특성화,전자상거래콘텐츠과,20230615,,
고등학교,사립,7011507,대경생활과학고등학교,Daekyeong Life Science High School,서울특별시교육청,4592,서울특별시 중구 매봉18길 111,(신당동),02-2235-5155,http://daekyeong.sen.hs.kr,02-2237-9142,남여공학,특성화고,N,전문계,,전기,주간,19560228,19560416,B10,서울특별시교육청,서울특별시,주간,상업계,정보처리과,20230615,,
고등학교,사립,7011506,서울매그넷고등학교,Seoul Magnet High School,서울특별시교육청,8656,서울특별시 금천구 탑골로10길 45,(시흥동/ 동일여자상업고등학교),02-807-6333,seoulmagnet.sen.hs.kr,02-804-9040,여,특성화고,N,전문계,,전기,주간,19870112,19870303,B10,서울특별시교육청,서울특별시,주간,상업계,사이버비즈니스과,20230615,37.4515286,126.9173972
고등학교,사립,7011505,광운인공지능고등학교,Kwangwoon Artificial Intelligence High School,서울특별시교육청,1890,서울특별시 노원구 광운로1길 24,(월계동/광운중학교/전자공업고등학교),02-918-7761,http://kwangwoon.sen.hs.kr,02-917-5091,남여공학,특성화고,N,전문계,,전기,주간,19340520,19340520,B10,서울특별시교육청,서울특별시,주간,공업계,전자과(2·1),20231001,,
고등학교,공립,7011498,서울인공지능고등학교,SEOUL ARTIFICIAL INTELLIGENCE HIGHSCHOOL,서울특별시교육청,5771,서울특별시 송파구 양산로 21,(거여동),02-6711-0508/0595,https://seoulai.sen.hs.kr,02-6711-0599,남여공학,특성화고,N,전문계,,전기,주간,19910301,19910301,B10,서울특별시교육청,서울특별시,주간,공업계,전기에너지과,20230615,37.491688,127.1426331
고등학교,공립,7011495,용산철도고등학교,Yongsan Railroad High School,서울특별시교육청,4388,서울특별시 용산구 서빙고로 24,(한강로3가/ 용산철도고등학교),02-6905-7777,https://yongsan-th.sen.hs.kr,02-6905-7890,남여공학,특성화고,N,전문계,,전기,주간,19630518,19630518,B10,서울특별시교육청,서울특별시,주간,공업계,철도차량과,20230615,37.5244642,126.967314
고등학교,사립,7011494,서울동산고등학교,Seoul Dongsan High School,서울특별시교육청,1832,서울특별시 노원구 공릉로 257,(공릉동),02-971-0903,http://seouldongsan.sen.hs.kr,02-973-3052,남여공학,특성화고,N,전문계,,전기,주간,19680302,19680429,B10,서울특별시교육청,서울특별시,주간,가사계,영유아보육과,20230615,,
고등학교,사립,7011493,인덕과학기술고등학교,Induk Science and Technology High School,서울특별시교육청,1878,서울특별시 노원구 초안산로 12,/ 인덕과학기술고등학교 (월계동/ 인덕대학교/인덕공업고등학교),02-902-2060,http://induk.sen.hs.kr,02-996-9278,남여공학,특성화고,N,전문계,,전기,주간,19631214,19631214,B10,서울특별시교육청,서울특별시,주간,공업계,컴퓨터응용기계과,20230615,37.6320002,127.0562374
고등학교,사립,7011492,서울신정고등학교,Seoul Shinjeong High School,서울특별시교육청,7736,서울특별시 강서구 등촌로13아길 20,(화곡동/ 서울신정고등학교),02-2644-3543,http://shinjeong.sen.hs.kr,02-2644-0021,여,특성화고,N,전문계,,전기,주간,19780130,19780130,B10,서울특별시교육청,서울특별시,주간,상업계,관광서비스과,20230615,37.5385354,126.857114
고등학교,사립,7011491,서일문화예술고등학교,SEOIL CULTURE  ARTS HIGH SCHOOL,서울특별시교육청,3094,서울특별시 종로구 지봉로17길 49,(창신동),02-763-5863,http://seoil.sen.hs.kr,02-765-8573,남여공학,특성화고,N,전문계,,전기,주간,19661208,19690715,B10,서울특별시교육청,서울특별시,주간,상업계,서비스마케팅과,20230615,,
고등학교,사립,7011490,동명생활경영고등학교,Dongmyung Career and Business High School,서울특별시교육청,3390,서울특별시 은평구 통일로 793,(대조동),02-383-2628,http://dmgcab.sen.hs.kr/,02-389-5011,여,특성화고,N,전문계,,전기,주간,19210603,19210603,B10,서울특별시교육청,서울특별시,주간,상업계,정보처리과,20230615,37.6139998,126.9231395
고등학교,사립,7011489,단국대학교부속소프트웨어고등학교,Dankook University Software High School,서울특별시교육청,6278,서울특별시 강남구 도곡로64길 21,(대치동 1013),02-2116-0115,http://dankook.sen.hs.kr,02-2116-0176,남,특성화고,N,전문계,,전기,주간,19410525,19501103,B10,서울특별시교육청,서울특별시,주간,공업계,전자기계과,20230615,37.4955653,127.0576741
고등학교,사립,7011488,광신방송예술고등학교,KWANGSHIN BROADCASTING ARTS HIGH SCHOOL,서울특별시교육청,8847,서울특별시 관악구 광신길 141,(신림동/ 광신방송예술고등학교),02-881-8612,http://ksmedia.sen.hs.kr,02-881-8637,남여공학,특성화고,N,전문계,,전기,주간,19051010,19051010,B10,서울특별시교육청,서울특별시,주간,상업계,그래픽디자인과,20230629,37.4655404,126.9242544
고등학교,사립,7011487,고명외식고등학교,Komyung Food Service High School,서울특별시교육청,2828,서울특별시 성북구 북악산로 870,(돈암동),02-928-8366,http://komyung.sen.hs.kr,02-924-6059,남여공학,특성화고,N,전문계,,전기,주간,19560221,19500520,B10,서울특별시교육청,서울특별시,주간,상업계,경영정보과,20240324,,
고등학교,사립,7011486,서울의료보건고등학교,Seoul Medical Healthcare High School,서울특별시교육청,4502,서울특별시 중구 만리재로37길 30,(만리동1가),02-392-6666,http://smh.sen.hs.kr,02-392-2233,여,특성화고,N,전문계,,전기,주간,19710531,19921002,B10,서울특별시교육청,서울특별시,주간,상업계,보건경영과,20230615,,
고등학교,사립,7011482,영락의료과학고등학교,YOUNGNAK MEDICAL-SCIENCE HIGH SCHOOL,서울특별시교육청,8831,서울특별시 관악구 청룡16길 25,(봉천동/ 서울영락고등학교/ 영락의료과학고등학교),02-884-1004,http://youngnak-c.sen.hs.kr,02-876-2708,남여공학,특성화고,N,전문계,,전기,주간,19520610,19590409,B10,서울특별시교육청,서울특별시,주간,상업계,정보처리과,20230615,37.4765939,126.9448151
외국인학교,사립,7011469,덜위치칼리지서울영국학교,Dulwich College Seoul British School,서울특별시교육청,6504,서울특별시 서초구 신반포로15길 6,(반포동),02-3015-8500,http://www.dulwich-seoul.kr,02-501-9748,남여공학,,N,,,전기,주간,20101020,20101020,B10,서울특별시교육청,서울특별시,,,,20230615,,
고등학교,사립,7011457,풍문고등학교,Poongmoon High School,서울특별시교육청,6373,서울특별시 강남구 자곡로 152,(자곡동),02-3451-8800,http://poongmoon.sen.hs.kr,02-732-4536,남여공학,일반고,N,일반계,,후기,주간,19440410,19440410,B10,서울특별시교육청,서울특별시,주간,일반계,인문사회과정(여),20230615,37.4714253,127.1007248
각종학교(고),공립,7011320,서울다솜관광고등학교,Seoul Dasom Tourism High School,서울특별시교육청,3114,서울특별시 종로구 종로58길 30,(숭인동),02-6743-0501,http://sds.sen.hs.kr,02-2556-2261,남여공학,특성화고,N,일반계,,전기,주간,20120301,20120301,B10,서울특별시교육청,서울특별시,주간,통합계,관광콘텐츠과,20230627,37.5720242,127.0175844
고등학교,공립,7011319,금호고등학교,GeumhoHighSchool,서울특별시교육청,4727,서울특별시 성동구 금호로 118,(금호동1가),02-2022-0800,http://geumho.sen.hs.kr,02-2022-0840,남여공학,일반고,N,일반계,,전기,주간,20170301,20170522,B10,서울특별시교육청,서울특별시,주간,일반계,일반학과,20230615,37.5534687,127.0237799
고등학교,공립,7011318,도선고등학교,DOSUN HIGH SCHOOL,서울특별시교육청,4701,서울특별시 성동구 마장로 156,(하왕십리동),02-2292-8175,http://dosun.sen.hs.kr,02-2292-7556,남여공학,일반고,N,일반계,,전기,주간,20170301,20170524,B10,서울특별시교육청,서울특별시,주간,일반계,일반학과,20230615,37.5665876,127.0270214
각종학교(고),공립,7011317,금천문화예술정보학교,GEUMCHEON SCHOOL OF ARTS & INFORMATION,서울특별시교육청,8548,서울특별시 금천구 남부순환로126길 25,/ 금천문화예술정보학교 (독산동),02-2039-9910,http://geumcheon.sc.kr/,02-2039-9872,남여공학,일반고,N,전문계,,전기,주간,20170301,20170504,B10,서울특별시교육청,서울특별시,주간,일반계,일반학과,20230705,37.4787212,126.9039113
고등학교,사립,7011316,신진과학기술고등학교,SHINJIN SCIENCE TECHNOLOGY HIGH SCHOOL,서울특별시교육청,3453,서울특별시 은평구 은평로6길 16,(응암동/학교법인신진학원),02-385-3451,http://shinjin.sen.hs.kr,02-383-3481,남여공학,특성화고,N,전문계,,전기,주간,19700130,19700316,B10,서울특별시교육청,서울특별시,주간,공업계,건설정보과,20230615,37.598061,126.9207027
고등학교,사립,7011315,선정국제관광고등학교,Sunjung International Tourism High School,서울특별시교육청,3327,서울특별시 은평구 서오릉로20길 19,/ 선정국제관광고등학교 (갈현동),02-3156-1600,http://sjt.sen.hs.kr,02-352-5073,남여공학,특성화고,N,전문계,,전기,주간,19941005,19500522,B10,서울특별시교육청,서울특별시,주간,특성화,국제의료관광간호과,20230615,,
고등학교,사립,7011312,계성고등학교,Gyeseong High School,서울특별시교육청,2720,서울특별시 성북구 길음로 63,/ 계성고등학교 (길음동),02-728-6100,gyeseong.sen.hs.kr,02-776-7086,남여공학,일반고,N,일반계,,후기,주간,19440908,19440908,B10,서울특별시교육청,서울특별시,주간,일반계,공통과정,20230615,37.6075246,127.0203671
각종학교(고),공립,7011310,오디세이학교,Odyssey School,서울특별시교육청,3114,서울특별시 종로구 종로58길 30,(숭인동),02-2256-4120,http://odyssey.hs.kr,02-2256-6741,남여공학,일반고,N,해당없음,,전기,주간,20150526,20150526,B10,서울특별시교육청,서울특별시,주간,일반계,공통과정,20250323,,
각종학교(고),사립,7011216,서울실용음악고등학교,Seoul Music High School,서울특별시교육청,4578,서울특별시 중구 퇴계로88가길 8,(신당동/서울실용음악고등학교),02-2231-5210,http://www.seoulmusic.hs.kr,02-2231-2543,남여공학,특성화고,N,전문계,,전기,주간,20090301,20090911,B10,서울특별시교육청,서울특별시,주간,전문계,실용음악과,20231015,,
고등학교,사립,7011213,서울컨벤션고등학교,SEOUL CONVENTION HIGH SCHOOL,서울특별시교육청,5225,서울특별시 강동구 동남로 964,/ 서울컨벤션고등학교 (고덕동),02-3427-7400,http://seoul-chs.sen.hs.kr,02-3427-7711,남여공학,특성화고,N,전문계,,전기,주간,19611215,19611215,B10,서울특별시교육청,서울특별시,주간,상업계,이-비즈니스과,20230615,37.559295,127.1579035
각종학교(고),공립,7011208,서초문화예술정보학교,Seocho School of Cultural Arts & Information,서울특별시교육청,6728,서울특별시 서초구 남부순환로347길 69,(서초동),02-3488-5200,http://seocho.sen.sc.kr,02-3486-6276,남여공학,특성화고,N,전문계,예술계열,전기,주간,20140101,20140415,B10,서울특별시교육청,서울특별시,주간,통합계,조리아트과,20230627,37.4877166,127.0297542
각종학교(고),공립,7011207,은평문화예술정보학교,Eunpyeong School of Cultural Arts & Information,서울특별시교육청,3470,서울특별시 은평구 가좌로 208,/ 은평문화예술정보학교 (응암동/ 은평문화예술정보학교),02-3152-5700,http://ep.sc.kr,02-3152-5740,남여공학,,N,전문계,,전기,주간,20131226,20140301,B10,서울특별시교육청,서울특별시,주간,통합계,헤어메이크업과,20230615,37.5888445,126.9186553
외국인학교,사립,7011189,서울드와이트외국인학교,Dwight International School Seoul,서울특별시교육청,3919,서울특별시 마포구 월드컵북로62길 21,(상암동),02-6920-8600,http://www.dwight.or.kr/,02-6920-8700,남여공학,,N,,,전기,주간,20120820,20120820,B10,서울특별시교육청,서울특별시,,,,20230615,37.5841664,126.8848767
고등학교,사립,7011186,대일관광고등학교,Daeil Tourism High School,서울특별시교육청,8051,서울특별시 양천구 신정이펜1로 11,/ 대일관광고등학교 (신정동/ 대일관광고등학교),070-4377-8871,http://daeil-tour.sen.hs.kr,02-2603-7361,여,특성화고,N,전문계,,전기,주간,19800926,19800926,B10,서울특별시교육청,서울특별시,주간,가사실업계,공통과정,20230615,37.5110811,126.835264
고등학교,사립,7011184,예림디자인고등학교,Yerim Design High School,서울특별시교육청,8248,서울특별시 구로구 오리로21길 2,(궁동/예림디자인고등학교),02-2617-2333,http://yerim.sen.hs.kr,02-2615-5415,여,특성화고,N,전문계,,전기,주간,19651205,20211205,B10,서울특별시교육청,서울특별시,주간,상업계,게임그래픽디자인과,20230615,37.5000741,126.8274101
고등학교,공립,7011180,서울도시과학기술고등학교,Seoul Urban Science Technical High School,서울특별시교육청,2736,서울특별시 성북구 종암로 196,(하월곡동/서울도시과학기술고등학교),02-940-2500,http://www.sust.hs.kr,02-940-2508,남여공학,특목고,N,전문계,산업수요 맞춤형 고등학교,전기,주간,19640108,19640108,B10,서울특별시교육청,서울특별시,주간,공업계,기계과,20230615,37.607354,127.0325039
고등학교,사립,7011179,성덕고등학교,Seongdeok High School,서울특별시교육청,5306,서울특별시 강동구 구천면로 396,(천호동),02-475-4620,http://ssd.hs.kr,02-3784-6939,남여공학,일반고,N,일반계,,후기,주간,19760601,19770905,B10,서울특별시교육청,서울특별시,주간,일반계,공통과정,20230615,37.5499209,127.142208
고등학교,공립,7011169,가재울고등학교,Gajaeul High School,서울특별시교육청,3709,서울특별시 서대문구 수색로 100-35,(북가좌동),02-6351-0500,http://www.gajaeul.hs.kr,02-307-6605,남여공학,일반고,N,일반계,,후기,주간,20130301,20130501,B10,서울특별시교육청,서울특별시,주간,일반계,공통과정,20230615,37.5740782,126.9095732
평생학교(고)-2년6학기,사립,7011150,학력인정 청량정보고등학교(2년제),Cheongryang Information High School,서울특별시교육청,2558,서울특별시 동대문구 답십리로15길 32,(전농동/ 청량정보고등학교),02-2212-3166,http://dreamschool.hs.kr,02-2215-0275,남여공학,특성화고,N,전문계,,전기,주야간,19910213,19910213,B10,서울특별시교육청,서울특별시,주간,상업계,정보처리과,20230629,,
평생학교(고)-3년6학기,사립,7011149,학력인정 한림연예예술고등학교,ACCREDITED HANLIM ARTS HIGH SCHOOL,서울특별시교육청,5792,서울특별시 송파구 충민로 172,(장지동/ 한림연예예술고교),02-409-1021,http://,02-408-1021,남여공학,특성화고,N,전문계,,후기,주간,20081111,20090302,B10,서울특별시교육청,서울특별시,주간,예술계,패션모델과,20230629,,
평생학교(고)-2년6학기,사립,7011148,학력인정 한림실업고등학교(2년제),Hanlim High School,서울특별시교육청,5792,서울특별시 송파구 충민로 172,(장지동/ 한림연예예술고교),02-400-6201,,02-408-1021,남여공학,특성화고,N,전문계,,전기,주야간,19600403,20020101,B10,서울특별시교육청,서울특별시,야간,경영?금융,경영정보과,20230629,,
평생학교(고)-2년6학기,사립,7011144,학력인정 청암고등학교(2년제),Cheong-am High School,서울특별시교육청,1713,서울특별시 노원구 중계로 244,(중계동/청암중고등학교),02-930-5646,www.ca.hs.kr,02-952-4702,남여공학,일반고,N,일반계,,전기,주야간,19791005,19791005,B10,서울특별시교육청,서울특별시,주간,일반계,일반학과,20230629,,
평생학교(고)-2년6학기,사립,7011142,학력인정 진형고등학교(2년제),Jinhyung High School,서울특별시교육청,3115,서울특별시 종로구 종로 386,(숭인동/ 진형빌딩),02-2235-0001,http://jh.ac.kr,02-2235-0013,남여공학,일반고,N,일반계,,전후기,주야간,20051213,20051213,B10,서울특별시교육청,서울특별시,야간,일반계,일반학과,20230629,,
평생학교(고)-2년6학기,사립,7011140,학력인정 일성여자고등학교(2년제),Ilsung Womens’s High School,서울특별시교육청,4134,서울특별시 마포구 마포대로11다길 11-6,(염리동/ 일성여자중고등학교),02-716-0069,http://www.ajummaschool.com,02-718-0615,여,일반고,N,일반계,,전기,주야간,19531113,20001205,B10,서울특별시교육청,서울특별시,야간,일반계,일반학과,20230629,,
평생학교(고)-2년6학기,사립,7011138,학력인정 신동신정보산업고등학교(2년제),Sindongsin Information Industry High School,서울특별시교육청,6998,서울특별시 동작구 동작대로33마길 27-1,(사당동/ 신동신중 정보산업 고등학교),02-599-5586,http://www.dongshinv.hs.kr,02-537-1350,남여공학,,N,전문계,,전기,주야간,19680628,19680628,B10,서울특별시교육청,서울특별시,야간,상업계,정보처리과,20230629,,
평생학교(고)-3년6학기,사립,7011125,학력인정 청량정보고등학교,Cheongryang Information High School,서울특별시교육청,2558,서울특별시 동대문구 답십리로15길 32,(전농동/ 청량정보고등학교),02-2212-3166,http://dreamschool.sen.hs.kr,02-2215-0275,남여공학,특성화고,N,전문계,,전기,주간,19910213,19910213,B10,서울특별시교육청,서울특별시,주간,상업계,관광외식산업과,20230629,,
평생학교(고)-2년6학기,사립,7011122,학력인정 정암미용고등학교(2년제),Jeongarm Beauty High School,서울특별시교육청,2490,서울특별시 동대문구 왕산로 225,(청량리동),02-957-2788,https://jeongarm.sen.hs.kr/,02-962-9186,남여공학,특성화고,N,전문계,,전기,주야간,20040301,20040301,B10,서울특별시교육청,서울특별시,주간,이용미용계,미용과,20230629,,
평생학교(고)-3년6학기,사립,7011120,학력인정 서울자동차고등학교,Seoul Automobile High School,서울특별시교육청,4319,서울특별시 용산구 백범로45길 15,(효창동/ 서울자동차고등학교),02-717-8304,http://www.seoulauto.sen.hs.kr,02-718-4969,남여공학,특성화고,N,전문계,,전기,주야간,20050413,20050413,B10,서울특별시교육청,서울특별시,야간,공업계,자동차정비과,20230627,,
평생학교(고)-3년6학기,사립,7011118,학력인정 신동신중.정보산업고등학교,Sindongsin Information Industry High School,서울특별시교육청,6998,서울특별시 동작구 동작대로33마길 27-1,(사당동/ 신동신중 정보산업 고등학교),02-599-5586,http://www.dongshinv.hs.kr,02-537-1350,남여공학,,N,전문계,,전기,주야간,19680628,19680628,B10,서울특별시교육청,서울특별시,주간,상업계,상업과,20230629,,
고등학교,공립,7011113,휘봉고등학교,HWIBONG High School,서울특별시교육청,2511,서울특별시 동대문구 한천로 290,(휘경동),02-2116-7211,http://hwibong.sen.hs.kr,02-2249-7121,남여공학,일반고,N,일반계,,후기,주간,20120106,20120501,B10,서울특별시교육청,서울특별시,주간,일반계,자연과정,20230615,37.5864562,127.068514
고등학교,공립,7011112,잠일고등학교,Jamil High School,서울특별시교육청,5501,서울특별시 송파구 백제고분로 21,(잠실동),02-2141-2000,http://jamil.sen.hs.kr,02-414-9973,남여공학,일반고,N,일반계,,후기,주간,20120301,20120506,B10,서울특별시교육청,서울특별시,주간,일반계,인문사회과정,20230615,37.5144002,127.0825057
고등학교,공립,7011111,구암고등학교,Guahm High School,서울특별시교육청,8723,서울특별시 관악구 성현로 57,(봉천동/구암고등학교),02-879-9823,http://www.guahm.hs.kr,02-879-1981,남여공학,일반고,N,일반계,,후기,주간,20120301,20120501,B10,서울특별시교육청,서울특별시,주간,일반계,공통과정,20230615,37.4922332,126.9503507
고등학교,국립,7011109,서울대학교사범대학부설고등학교,Seoul National University High School,교육부,2796,서울특별시 성북구 월곡로 6,(종암동),02-913-7305,https://snu.sen.hs.kr/,02-919-5275,남여공학,일반고,N,일반계,,후기,주간,19460901,19461015,B10,서울특별시교육청,서울특별시,주간,일반계,공통과정,20230615,37.5938676,127.0382434
각종학교(고),공립,7011096,꿈타래학교,/,서울특별시교육청,15188,서울특별시 관악구 신림로 67,(신림동/서울산업정보학교),070-6331-1972,http://www.dreamkey.sen.sc.kr/,02-874-0847,남여공학,특성화고,N,일반계,,전기,주간,20030118,20030118,B10,서울특별시교육청,서울특별시,주간,일반계,일반학과,20230627,,
고등학교,사립,7011089,화곡보건경영고등학교,Hwagok Nursing And Business High School,서울특별시교육청,7638,서울특별시 강서구 강서로45길 70,(내발산동/ 화곡보건경영고등학교),070-8644-6300,http://www.hwagok-gii.hs.kr,02-2664-2803,남여공학,특성화고,N,전문계,,전기,주간,19870108,19870916,B10,서울특별시교육청,서울특별시,주간,상업계,공통과정,20240414,37.549159,126.832909
고등학교,사립,7011088,영신간호비즈니스고등학교,YOUNGSHIN NURSING BUSINESSS HIGH SCHOOL,서울특별시교육청,1721,서울특별시 노원구 중계로16나길 13,/ 영신간호비즈니스고등학교 (중계동),02-951-5772,http://youngshin.sen.hs.kr,02-936-5493,여,특성화고,N,전문계,,전기,주간,19921007,19930508,B10,서울특별시교육청,서울특별시,주간,가사계,치의보건간호과,20230615,,
고등학교,사립,7011087,홍익디자인고등학교,Hongik Design High School,서울특별시교육청,3977,서울특별시 마포구 성미산로 111,(연남동),02-3140-1256,http://hid.sen.hs.kr,02-3140-1340,여,특성화고,N,전문계,,전기,주간,19920727,19920727,B10,서울특별시교육청,서울특별시,주간,상업계,관광과,20230615,37.5627149,126.9197285
고등학교,사립,7011085,송곡관광고등학교,Songgok Tourism High School,서울특별시교육청,2057,서울특별시 중랑구 양원역로 67,(망우동),02-432-1837,http://www.sgi.hs.kr,02-433-2183,남여공학,특성화고,N,전문계,,전기,주간,19970902,19980524,B10,서울특별시교육청,서울특별시,주간,상업계,공통과정,20250330,37.6064716,127.1054767
고등학교,사립,7011084,세그루패션디자인고등학교,Segeuru Fashion Design High School,서울특별시교육청,1375,서울특별시 도봉구 시루봉로 53,/ 세그루패션디자인고등학교 (쌍문동),02-993-0211,http://sfd.sen.hs.kr,02-998-7912,여,특성화고,N,전문계,,전기,주간,19741227,19740915,B10,서울특별시교육청,서울특별시,주간,상업계,사이버정보통신과,20230615,37.6558481,127.026867
고등학교,공립,7010985,삼각산고등학교,Samgaksan High School,서울특별시교육청,1199,서울특별시 강북구 삼양로19길 40,(미아동/삼각산고등학교),02-980-2290,http://samgaksan.hs.kr,02-989-6930,남여공학,일반고,N,일반계,,후기,주간,20110301,20110301,B10,서울특별시교육청,서울특별시,주간,일반계,자연과정,20230615,37.6158046,127.0202232
고등학교,공립,7010984,선사고등학교,SUNSA HIGH SCHOOL,서울특별시교육청,5237,서울특별시 강동구 고덕로25길 17,/ 선사고등학교 (암사동),02-426-1749,http://www.sunsa.hs.kr,02-426-1748,남여공학,일반고,N,일반계,,후기,주간,20110301,20110501,B10,서울특별시교육청,서울특별시,주간,일반계,공통과정,20230615,37.5560996,127.1357986
고등학교,공립,7010983,신도고등학교,SINDO HIGH SCHOOL,서울특별시교육청,3312,서울특별시 은평구 통일로 961,(진관동),02-3157-0021,http://www.sindo.hs.kr,02-3157-0035,남여공학,일반고,N,일반계,,후기,주간,20110301,20110301,B10,서울특별시교육청,서울특별시,주간,일반계,자연과정,20230615,37.6290814,126.9184822
각종학교(고),사립,7010966,여명학교,Yeo-Myung School,서울특별시교육청,4630,서울특별시 중구 소파로 99,/ 여명학교 (남산동2가),02-888-1673,http://ymschool.org,02-888-1676,남여공학,일반고,N,일반계,,전기,주간,20100322,20100405,B10,서울특별시교육청,서울특별시,주간,일반계,일반학과,20230627,,
