순서,시설ID,컨텐츠 명,사용유무,테마 타입,x 좌표,y 좌표,좌표 배열,좌표타입,메인 이미지,새 주소,구 주소,우편번호,국가 지점 번호,테마 명,거리,업데이트 일,등록일,이미지 URL1,이미지 URL2,이미지 URL3,이미지 URL4,이미지 URL5,동영상 URL,음성파일 URL,평가 점수,평가자 인원,상세정보 이름 1,상세정보 값 1,상세정보 이름 2,상세정보 값 2,상세정보 이름 3,상세정보 값 3,상세정보 이름 4,상세정보 값 4,상세정보 이름 5,상세정보 값 5,상세정보 이름 6,상세정보 값 6,상세정보 이름 7,상세정보 값 7,상세정보 이름 8,상세정보 값 8,상세정보 이름 9,상세정보 값 9,상세정보 이름 10,상세정보 값 10
261,용산구 거치대 지하철-25,녹사평역 3번 출구 자전거보관소,사용,일반,126.9870729,37.53441945,"[126.987072936,37.534419446]",Point,,서울특별시 용산구 녹사평대로 195,서울특별시 용산구 용산동4가 1-1,4353,다사54684846,(친환경)자전거 편의시설,3220.433419,2023-03-27 14:56,2021-12-24 14:22,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,,"상세위치(예, OO동 주민센터)",,설치유형(*공기주입기와 주차장 만 선택하세요.),,"설치/이용가능대수(예, 00대)",7대,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,,
263,용산구 거치대 지하철-23,녹사평역 4번 출구 자전거보관소,사용,일반,126.9860577,37.53474403,"[126.986057697,37.534744026]",Point,,,서울특별시 용산구 용산동4가 1-1,,다사54594850,(친환경)자전거 편의시설,3152.494552,2023-03-27 14:52,2021-12-24 14:22,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,,"상세위치(예, OO동 주민센터)",,설치유형(*공기주입기와 주차장 만 선택하세요.),,"설치/이용가능대수(예, 00대)",14대,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,,
366,용산구 거치대 -03,보광나들목 입구 자전거보관소,사용,일반,127.0021406,37.52507606,"[127.002140637,37.525076056]",Point,,서울특별시 용산구 서빙고로 369,서울특별시 용산구 보광동 87-6,4416,다사56004742,(친환경)자전거 편의시설,4774.972346,2023-03-27 14:36,2022-02-07 13:24,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,,"상세위치(예, OO동 주민센터)",,설치유형(*공기주입기와 주차장 만 선택하세요.),,"설치/이용가능대수(예, 00대)",15대,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,,
369,용산구 거치대 정류소-09,보성여중고입구버스정류소 자전거보관소,사용,일반,126.9857126,37.5462663,"[126.985712572,37.546266296]",Point,,서울특별시 용산구 신흥로 90,서울특별시 용산구 용산동2가 1-1144,4339,다사54564978,(친환경)자전거 편의시설,2100.508894,2023-03-27 13:39,2021-12-24 14:52,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,,"상세위치(예, OO동 주민센터)",,설치유형(*공기주입기와 주차장 만 선택하세요.),,"설치/이용가능대수(예, 00대)",7대,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,,
378,용산구 거치대 지하철-18,삼각지역 11번 출구 자전거보관소,사용,일반,126.9746917,37.53585225,"[126.974691695,37.53585225]",Point,,서울특별시 용산구 한강대로 198,서울특별시 용산구 한강로1가 17-3,4353,다사53584863,(친환경)자전거 편의시설,2829.775019,2023-03-27 13:47,2021-12-24 14:01,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,,"상세위치(예, OO동 주민센터)",,설치유형(*공기주입기와 주차장 만 선택하세요.),,"설치/이용가능대수(예, 00대)",7대,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,,
380,용산구 거치대 지하철-19,삼각지역 14번 출구 자전거보관소,사용,일반,126.9742754,37.53508876,"[126.97427543,37.535088756]",Point,,서울특별시 용산구 이태원로 2-2,서울특별시 용산구 한강로1가 120-3,4382,다사53554854,(친환경)자전거 편의시설,2906.42726,2023-03-27 13:44,2021-12-24 14:02,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,,"상세위치(예, OO동 주민센터)",,설치유형(*공기주입기와 주차장 만 선택하세요.),,"설치/이용가능대수(예, 00대)",14대,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,,
382,용산구 거치대 지하철-15,삼각지역 2번 출구 자전거보관소,사용,일반,126.9731491,37.53429505,"[126.973149148,37.534295054]",Point,,서울특별시 용산구 한강대로 176-1,서울특별시 용산구 한강로1가 228-1,4382,다사53454846,(친환경)자전거 편의시설,2989.494036,2023-03-27 13:48,2021-12-24 14:01,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,,"상세위치(예, OO동 주민센터)",,설치유형(*공기주입기와 주차장 만 선택하세요.),,"설치/이용가능대수(예, 00대)",7대,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,,
384,용산구 거치대 지하철-16,삼각지역 7~8번 출구 자전거보관소,사용,일반,126.9734328,37.53540047,"[126.973432828,37.535400474]",Point,,서울특별시 용산구 한강대로 187,서울특별시 용산구 한강로1가 273-4,4375,다사53474858,(친환경)자전거 편의시설,2877.721883,2023-03-27 13:41,2021-12-24 13:58,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,지하철역|,"상세위치(예, OO동 주민센터)",,설치유형(*공기주입기와 주차장 만 선택하세요.),,"설치/이용가능대수(예, 00대)",7대,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,,
386,용산구 거치대 지하철-17,삼각지역 9~10번 출구 자전거보관소,사용,일반,126.9738742,37.53622042,"[126.973874156,37.536220418]",Point,,서울특별시 용산구 한강대로 205,서울특별시 용산구 한강로1가 42,4322,다사53514867,(친환경)자전거 편의시설,2794.16416,2023-03-27 13:42,2021-12-24 14:00,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,,"상세위치(예, OO동 주민센터)",,설치유형(*공기주입기와 주차장 만 선택하세요.),,"설치/이용가능대수(예, 00대)",13대,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,,
387,용산구 거치대 정류소-11,삼상테마트 앞 자전거보관소,사용,일반,126.9500614,37.5336287,"[126.950061398,37.533628703]",Point,,서울특별시 용산구 원효로 51,서울특별시 용산구 원효로4가 179,4359,다사51414839,(친환경)자전거 편의시설,3922.198259,2023-03-27 11:03,2022-02-07 11:23,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,,"상세위치(예, OO동 주민센터)",,설치유형(*공기주입기와 주차장 만 선택하세요.),,"설치/이용가능대수(예, 00대)",5대,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,,
404,용산구 거치대 -04,삼일교회 앞 자전거보관소,사용,일반,126.9705372,37.54673328,"[126.970537165,37.546733275]",Point,,서울특별시 용산구 청파로 304,서울특별시 용산구 청파동1가 180-36,4301,다사53224984,(친환경)자전거 편의시설,1790.614145,2023-03-27 15:02,2022-02-07 13:26,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,,"상세위치(예, OO동 주민센터)",,설치유형(*공기주입기와 주차장 만 선택하세요.),,"설치/이용가능대수(예, 00대)",10대,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,,
418,용산구 거치대 관공서-06,서빙고동주민센터 옆 자전거보관소,사용,일반,126.9945561,37.52035229,"[126.994556057,37.520352292]",Point,,서울특별시 용산구 서빙고로 279,서울특별시 용산구 서빙고동 135-1,4398,다사55334690,(친환경)자전거 편의시설,4809.054804,2023-03-27 14:34,2022-02-07 13:12,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,,"상세위치(예, OO동 주민센터)",,설치유형(*공기주입기와 주차장 만 선택하세요.),,"설치/이용가능대수(예, 00대)",14대,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,,
420,용산구 거치대 지하철-11,서빙고역 광장 자전거보관소,사용,일반,126.9893051,37.51995339,"[126.989305117,37.519953389]",Point,,서울특별시 용산구 서빙고로 238,서울특별시 용산구 서빙고동 241-37,4428,다사54874686,(친환경)자전거 편의시설,4654.885544,2023-03-27 14:33,2021-12-24 13:50,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,,"상세위치(예, OO동 주민센터)",,설치유형(*공기주입기와 주차장 만 선택하세요.),,"설치/이용가능대수(예, 00대)",21대,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,,
424,용산구 거치대 지하철-32,서울역 12번 출구 자전거보관소,사용,일반,126.9726743,37.5522929,"[126.972674349,37.552292896]",Point,,서울특별시 용산구 후암로57길 26-14,서울특별시 용산구 동자동 14-94,4323,다사53425045,(친환경)자전거 편의시설,1202.804829,2023-03-27 13:26,2021-12-24 14:34,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,,"상세위치(예, OO동 주민센터)",,설치유형(*공기주입기와 주차장 만 선택하세요.),,"설치/이용가능대수(예, 00대)",10대,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,,
426,용산구 거치대 지하철-29,서울역 14번 출구(한양식당 앞) 자전거보관소,사용,일반,126.9724244,37.5542263,"[126.972424389,37.554226299]",Point,,서울특별시 용산구 한강대로 401-2,서울특별시 용산구 동자동 43-207,4320,다사53405067,(친환경)자전거 편의시설,1018.015304,2023-03-27 13:29,2021-12-24 14:31,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,,"상세위치(예, OO동 주민센터)",,설치유형(*공기주입기와 주차장 만 선택하세요.),,"설치/이용가능대수(예, 00대)",,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,,
490,강남구_보관소_002,수서역 자전거 보관소,사용,일반,127.1008718,37.48734261,[],Point,,,서울특별시 강남구 수서동 735,,,(친환경)자전거 편의시설,14771.58067,2022-01-21 13:42,2022-01-21 13:42,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,지하철역|,"상세위치(예, OO동 주민센터)",,설치유형(*공기주입기와 주차장 만 선택하세요.),수동식|,"설치/이용가능대수(예, 00대)",,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,,
495,용산구 거치대 지하철-01,숙대입구역 10번 출구 자전거보관소,사용,일반,126.9717317,37.54550378,"[126.971731656,37.545503776]",Point,,서울특별시 용산구 한강대로 305,서울특별시 용산구 갈월동 69-29,4320,다사53334970,(친환경)자전거 편의시설,1888.02298,2023-03-27 15:03,2021-12-24 13:38,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,,"상세위치(예, OO동 주민센터)",,설치유형(*공기주입기와 주차장 만 선택하세요.),,"설치/이용가능대수(예, 00대)",5대,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,,
497,용산구 거치대 지하철-03,숙대입구역 1번 출구 자전거보관소,사용,일반,126.9721153,37.54567675,"[126.972115324,37.545676748]",Point,,서울특별시 용산구 한강대로 308,서울특별시 용산구 갈월동 16-6,4334,다사53364972,(친환경)자전거 편의시설,1865.250031,2023-03-27 13:23,2021-12-24 13:41,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,,"상세위치(예, OO동 주민센터)",,설치유형(*공기주입기와 주차장 만 선택하세요.),,"설치/이용가능대수(예, 00대)",10대,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,,
499,용산구 거치대 지하철-02,숙대입구역 4번 출구 자전거보관소,사용,일반,126.9723685,37.54448247,"[126.972368542,37.544482465]",Point,,서울특별시 용산구 한강대로 294,서울특별시 용산구 남영동 19-8,4352,다사53394959,(친환경)자전거 편의시설,1980.46545,2023-03-27 13:25,2021-12-24 13:40,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,,"상세위치(예, OO동 주민센터)",,설치유형(*공기주입기와 주차장 만 선택하세요.),,"설치/이용가능대수(예, 00대)",7대,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,,
503,용산구 거치대 정류소-07,순천향대학병원버스정류소 자전거보관소,사용,일반,127.0060723,37.53510885,"[127.00607227,37.535108854]",Point,,서울특별시 용산구 대사관로31길 34,서울특별시 용산구 한남동 704-2,4401,다사56364853,(친환경)자전거 편의시설,4275.419551,2023-03-27 14:42,2021-12-24 14:49,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,,"상세위치(예, OO동 주민센터)",,설치유형(*공기주입기와 주차장 만 선택하세요.),,"설치/이용가능대수(예, 00대)",12대,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,,
520,용산구 거치대 지하철-26,신용산역 2번 출구 자전거보관소,사용,일반,126.9676435,37.52861213,"[126.967643457,37.528612127]",Point,,서울특별시 용산구 한강대로 96,서울특별시 용산구 한강로2가 191-2,4386,다사52964783,(친환경)자전거 편의시설,3623.071454,2023-03-27 13:53,2021-12-24 14:24,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,,"상세위치(예, OO동 주민센터)",,설치유형(*공기주입기와 주차장 만 선택하세요.),,"설치/이용가능대수(예, 00대)",10대,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,,
522,용산구 거치대 지하철-27,신용산역 6번 출구 자전거보관소,사용,일반,126.9683894,37.52995625,"[126.968389373,37.529956248]",Point,,서울특별시 용산구 한강대로 109,서울특별시 용산구 한강로2가 181-2,4376,다사53024798,(친환경)자전거 편의시설,3477.029778,2023-03-27 13:55,2021-12-24 14:26,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,,"상세위치(예, OO동 주민센터)",,설치유형(*공기주입기와 주차장 만 선택하세요.),,"설치/이용가능대수(예, 00대)",14대,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,,
949,중랑구_자전거거치대_28,자전거 거치대,사용,일반,127.0859476,37.61996469,"[127.0859475934722,37.61996468598656]",Point,,,서울특별시 중랑구 묵동 30,,다사63465791,(친환경)자전거 편의시설,12446.85447,2022-02-23 9:54,2022-02-23 9:54,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,,"상세위치(예, OO동 주민센터)",,설치유형(*공기주입기와 주차장 만 선택하세요.),,"설치/이용가능대수(예, 00대)",,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,,
